topic	payload	qos	retained
gaia/vision/object	{"event": "leave", "object": "laptop", "camera": "salotto", "timestamp": 1789461163}	0	False
gaia/device/ops-silvermini2/status	{"device_id": "ops-silvermini2", "name": "ops", "stanza": "soggiorno", "role": "ops", "ip": "192.168.1.240", "tailscale_ip": "100.91.251.83", "internet": true, "capabilities": {"camera": true, "mic": true, "audio_out": true, "display": true, "midi": [], "i2c": false}, "services": {"camera": "inactive", "yolo": "inactive", "mediapipe": "inactive", "voice": "inactive", "kiosk": "inactive", "mediaplayer": "inactive", "touchdesigner": "inactive", "touchdesigner_herbarium": "active", "touchdesigner_yolo": "inactive", "ollama": "active"}, "config": {"yolo": {"enabled": false}, "mediapipe": {"enabled": false}, "voice": {"enabled": false}, "kiosk": {"enabled": false}, "mediaplayer": {"enabled": false}, "touchdesigner": {"enabled": false}, "touchdesigner_herbarium": {"enabled": true}, "touchdesigner_yolo": {"enabled": false}, "ollama": {"enabled": true}, "camera": {"enabled": true}}, "uptime": 69442, "ts": 1789461154994}	0	False
gaia/devices/ops-silvermini2/profile	{"device_id": "ops-silvermini2", "role": "ops", "room": "soggiorno", "ip": "192.168.1.240", "tailscale_ip": "100.91.251.83", "internet": true, "capabilities": {"camera": true, "mic": true, "audio_out": true, "display": true, "midi": [], "i2c": false}, "services": {"camera": {"state": "inactive", "endpoints": {"mjpeg": "http://192.168.1.240:8766/video"}}, "yolo": {"state": "inactive", "endpoints": {"frame": "gaia/soggiorno/frame", "snapshot": "gaia/soggiorno/snapshot"}}, "mediapipe": {"state": "inactive", "endpoints": {"pose": "gaia/mediapipe/pose"}}, "voice": {"state": "inactive", "endpoints": {"tts": "gaia/voice/tts/soggiorno", "command": "gaia/voice/command/soggiorno", "stats": "gaia/voice/stats/soggiorno"}}, "kiosk": {"state": "inactive", "endpoints": {}}, "mediaplayer": {"state": "inactive", "endpoints": {}}, "touchdesigner": {"state": "inactive", "endpoints": {}}, "touchdesigner_herbarium": {"state": "active", "endpoints": {}}, "touchdesigner_yolo": {"state": "inactive", "endpoints": {}}, "ollama": {"state": "active", "endpoints": {}}}, "sw_version": "1.0.2", "ts": 1789461155000}	0	False
gaia/vision/object	{"event": "enter", "object": "laptop", "camera": "salotto", "timestamp": 1789461163}	0	False
gaia/dante/status	{"active": false, "last_seen_ts": null, "ports_seen": [], "ts": 1789461164052}	0	False
gaia/device/solaro-qr1/status	{"device_id": "solaro-qr1", "name": "Solaro QR1-UC", "role": "device", "family": "solaro", "stanza": "", "last_heartbeat_age_s": null, "alive": false, "channels": {}, "capabilities": {"ptz_visca_recall": true}, "services": {}, "config": {}, "ts": 1789461164052}	0	False
gaia/vision/object	{"event": "leave", "object": "laptop", "camera": "salotto", "timestamp": 1789461164}	0	False
gaia/vision/object	{"event": "enter", "object": "laptop", "camera": "salotto", "timestamp": 1789461164}	0	False
gaia/vision/object	{"event": "leave", "object": "laptop", "camera": "salotto", "timestamp": 1789461164}	0	False
gaia/vision/object	{"event": "enter", "object": "bowl", "camera": "salotto", "timestamp": 1789461164}	0	False
gaia/vision/object	{"event": "leave", "object": "bowl", "camera": "salotto", "timestamp": 1789461164}	0	False
gaia/vision/object	{"event": "enter", "object": "bowl", "camera": "salotto", "timestamp": 1789461164}	0	False
